0x6b	0x006b	# (JIS=0) LATIN SMALL LETTER K
0x6c	0x006c	# (JIS=0) LATIN SMALL LETTER L
0x6d	0x006d	# (JIS=0) LATIN SMALL LETTER M
0x6e	0x006e	# (JIS=0) LATIN SMALL LETTER N
0x6f	0x006f	# (JIS=0) LATIN SMALL LETTER O
0x70	0x0070	# (JIS=0) LATIN SMALL LETTER P
0x71	0x0071	# (JIS=0) LATIN SMALL LETTER Q
0x72	0x0072	# (JIS=0) LATIN SMALL LETTER R
0x73	0x0073	# (JIS=0) LATIN SMALL LETTER S
0x74	0x0074	# (JIS=0) LATIN SMALL LETTER T
0x75	0x0075	# (JIS=0) LATIN SMALL LETTER U
0x76	0x0076	# (JIS=0) LATIN SMALL LETTER V
0x77	0x0077	# (JIS=0) LATIN SMALL LETTER W
0x78	0x0078	# (JIS=0) LATIN SMALL LETTER X
0x79	0x0079	# (JIS=0) LATIN SMALL LETTER Y
0x7a	0x007a	# (JIS=0) LATIN SMALL LETTER Z
0x7b	0x007b	# (JIS=0) LEFT CURLY BRACKET
0x7c	0x007c	# (JIS=0) VERTICAL LINE
0x7d	0x007d	# (JIS=0) RIGHT CURLY BRACKET
0x7e	0x203e	# (JIS=0) OVERLINE
0x7f	0x2758	# (JIS=0) Unknown
0xa1	0xff61	# (JIS=0) HALFWIDTH IDEOGRAPHIC FULL STOP
0xa2	0xff62	# (JIS=0) HALFWIDTH LEFT CORNER BRACKET
0xa3	0xff63	# (JIS=0) HALFWIDTH RIGHT CORNER BRACKET
0xa4	0xff64	# (JIS=0) HALFWIDTH IDEOGRAPHIC COMMA
0xa5	0xff65	# (JIS=0) HALFWIDTH KATAKANA MIDDLE DOT
0xa6	0xff66	# (JIS=0) HALFWIDTH KATAKANA LETTER WO
0xa7	0xff67	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL A
0xa8	0xff68	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL I
0xa9	0xff69	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL U
0xaa	0xff6a	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL E
0xab	0xff6b	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL O
0xac	0xff6c	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL YA
0xad	0xff6d	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL YU
0xae	0xff6e	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL YO
0xaf	0xff6f	# (JIS=0) HALFWIDTH KATAKANA LETTER SMALL TU
0xb0	0xff70	# (JIS=0) HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xb1	0xff71	# (JIS=0) HALFWIDTH KATAKANA LETTER A
0xb2	0xff72	# (JIS=0) HALFWIDTH KATAKANA LETTER I
0xb3	0xff73	# (JIS=0) HALFWIDTH KATAKANA LETTER U
0xb4	0xff74	# (JIS=0) HALFWIDTH KATAKANA LETTER E
0xb5	0xff75	# (JIS=0) HALFWIDTH KATAKANA LETTER O
0xb6	0xff76	# (JIS=0) HALFWIDTH KATAKANA LETTER KA
0xb7	0xff77	# (JIS=0) HALFWIDTH KATAKANA LETTER KI
0xb8	0xff78	# (JIS=0) HALFWIDTH KATAKANA LETTER KU
0xb9	0xff79	# (JIS=0) HALFWIDTH KATAKANA LETTER KE
0xba	0xff7a	# (JIS=0) HALFWIDTH KATAKANA LETTER KO
0xbb	0xff7b	# (JIS=0) HALFWIDTH KATAKANA LETTER SA
0xbc	0xff7c	# (JIS=0) HALFWIDTH KATAKANA LETTER SI
0xbd	0xff7d	# (JIS=0) HALFWIDTH KATAKANA LETTER SU
0xbe	0xff7e	# (JIS=0) HALFWIDTH KATAKANA LETTER SE
0xbf	0xff7f	# (JIS=0) HALFWIDTH KATAKANA LETTER SO
0xc0	0xff80	# (JIS=0) HALFWIDTH KATAKANA LETTER TA
0xc1	0xff81	# (JIS=0) HALFWIDTH KATAKANA LETTER TI
0xc2	0xff82	# (JIS=0) HALFWIDTH KATAKANA LETTER TU
0xc3	0xff83	# (JIS=0) HALFWIDTH KATAKANA LETTER TE
0xc4	0xff84	# (JIS=0) HALFWIDTH KATAKANA LETTER TO
0xc5	0xff85	# (JIS=0) HALFWIDTH KATAKANA LETTER NA
0xc6	0xff86	# (JIS=0) HALFWIDTH KATAKANA LETTER NI
0xc7	0xff87	# (JIS=0) HALFWIDTH KATAKANA LETTER NU
